# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myPDF[1] c_myPDF[2] c_myPDF[3]
100000 1000
636 6.355 0.867266 17.7435
637 6.365 0.877529 17.8317
638 6.375 0.88517 17.9208
639 6.385 0.894359 18.0112
640 6.395 0.904099 18.1029
641 6.405 0.913366 18.1958
642 6.415 0.921633 18.2898
643 6.425 0.930592 18.385
644 6.435 0.944449 18.482
645 6.445 0.955825 18.5804
646 6.455 0.965695 18.6801
647 6.465 0.977464 18.7814
648 6.475 0.988242 18.8841
649 6.485 1.00026 18.9884
650 6.495 1.00859 19.0939
651 6.505 1.01527 19.2004
652 6.515 1.02595 19.3083
653 6.525 1.03506 19.4175
654 6.535 1.04599 19.5283
655 6.545 1.06104 19.6409
656 6.555 1.06649 19.7545
657 6.565 1.07764 19.8697
658 6.575 1.08679 19.9861
659 6.585 1.09473 20.1038
660 6.595 1.11098 20.2236
661 6.605 1.11979 20.3447
662 6.615 1.12863 20.4671
663 6.625 1.13757 20.5909
664 6.635 1.14983 20.7164
665 6.645 1.15917 20.8433
666 6.655 1.16824 20.9715
667 6.665 1.17574 21.101
668 6.675 1.18482 21.2319
669 6.685 1.19636 21.3644
670 6.695 1.20453 21.4982
671 6.705 1.21839 21.634
672 6.715 1.2244 21.7709
673 6.725 1.22925 21.9087
674 6.735 1.23541 22.0476
675 6.745 1.24807 22.1884
676 6.755 1.25355 22.3301
677 6.765 1.26057 22.4732
678 6.775 1.26293 22.6169
679 6.785 1.27026 22.7618
680 6.795 1.27747 22.908
681 6.805 1.28537 23.0556
682 6.815 1.29494 23.2047
683 6.825 1.30122 23.3549
684 6.835 1.30965 23.5066
685 6.845 1.31862 23.6598
686 6.855 1.32278 23.8138
687 6.865 1.32547 23.9687
688 6.875 1.32985 24.1245
689 6.885 1.3347 24.2813
690 6.895 1.33785 24.439
691 6.905 1.33911 24.5973
692 6.915 1.34178 24.7563
693 6.925 1.34528 24.9163
694 6.935 1.34213 25.0763
695 6.945 1.34735 25.2374
696 6.955 1.35185 25.3995
697 6.965 1.35291 25.5622
698 6.975 1.35616 25.7257
699 6.985 1.35439 25.8895
700 6.995 1.36075 26.0546
701 7.005 1.35653 26.2196
702 7.015 1.35654 26.3851
703 7.025 1.3593 26.5514
704 7.035 1.35769 26.7179
705 7.045 1.36308 26.8856
706 7.055 1.36089 27.0535
707 7.065 1.36506 27.2224
708 7.075 1.36484 27.3918
709 7.085 1.35947 27.561
710 7.095 1.36015 27.7307
711 7.105 1.36133 27.901
712 7.115 1.36159 28.0719
713 7.125 1.36321 28.2435
714 7.135 1.36168 28.4153
715 7.145 1.36477 28.588
716 7.155 1.36369 28.7611
717 7.165 1.36747 28.9351
718 7.175 1.36917 29.1098
719 7.185 1.36211 29.2841
720 7.195 1.36213 29.4589
721 7.205 1.36136 29.6341
722 7.215 1.36071 29.8097
723 7.225 1.36088 29.9858
724 7.235 1.36125 30.1625
725 7.245 1.35627 30.3389
726 7.255 1.35638 30.5159
727 7.265 1.35502 30.6932
728 7.275 1.3535 30.8708
729 7.285 1.35277 31.0487
730 7.295 1.35233 31.2271
731 7.305 1.34846 31.4055
732 7.315 1.34612 31.5841
733 7.325 1.35081 31.7637
734 7.335 1.35082 31.9439
735 7.345 1.35471 32.1251
736 7.355 1.34824 32.3059
737 7.365 1.34571 32.4868
738 7.375 1.34536 32.6682
739 7.385 1.34362 32.8499
740 7.395 1.34131 33.0317
741 7.405 1.34279 33.2142
742 7.415 1.34273 33.3972
743 7.425 1.34427 33.581
744 7.435 1.3373 33.7642
745 7.445 1.33508 33.9477
746 7.455 1.33678 34.1318
747 7.465 1.33891 34.3168
748 7.475 1.33586 34.5018
749 7.485 1.3381 34.6876
750 7.495 1.33507 34.8736
751 7.505 1.33501 35.06
752 7.515 1.33768 35.2472
753 7.525 1.33269 35.4343
754 7.535 1.33053 35.6216
755 7.545 1.33382 35.8098
756 7.555 1.32961 35.9979
757 7.565 1.32912 36.1865
758 7.575 1.32429 36.3749
759 7.585 1.3211 36.5633
760 7.595 1.31614 36.7515
761 7.605 1.32094 36.9408
762 7.615 1.31662 37.1301
763 7.625 1.31333 37.3194
764 7.635 1.31321 37.5092
765 7.645 1.31051 37.699
766 7.655 1.30851 37.8891
767 7.665 1.307 38.0795
768 7.675 1.30047 38.2694
769 7.685 1.29564 38.459
770 7.695 1.29285 38.6488
771 7.705 1.28625 38.8381
772 7.715 1.28153 39.0272
773 7.725 1.28042 39.2166
774 7.735 1.27156 39.4052
775 7.745 1.26544 39.5934
776 7.755 1.26372 39.7818
777 7.765 1.26183 39.9704
778 7.775 1.25969 40.1591
779 7.785 1.25115 40.3471
780 7.795 1.2484 40.5351
781 7.805 1.24396 40.723
782 7.815 1.23886 40.9106
783 7.825 1.23461 41.098
784 7.835 1.22765 41.2848
785 7.845 1.21768 41.4705
786 7.855 1.21589 41.6565
787 7.865 1.20755 41.8417
788 7.875 1.20261 42.0266
789 7.885 1.19327 42.2105
790 7.895 1.18866 42.3941
791 7.905 1.18334 42.5774
792 7.915 1.17438 42.7598
793 7.925 1.16468 42.9412
794 7.935 1.16152 43.1224
795 7.945 1.15287 43.3028
796 7.955 1.14568 43.4826
797 7.965 1.13872 43.6617
798 7.975 1.13209 43.8401
799 7.985 1.12669 44.0182
800 7.995 1.12193 44.196
801 8.005 1.11464 44.3731
802 8.015 1.11027 44.5499
